ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
159384;UNIVERSIDAD NACIONAL DEL CENTRO;SEGURIDAD Y MEDIO AMBIENTE EN MINERÍA;SI;SI
158249;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;GERENCIA SOCIAL;SI;SI
158250;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;MAESTRIA EN GERENCIA SOCIAL;SI;SI
158457;UNIVERSIDAD CATÓLICA DE TRUJILLO;GESTION Y ACREDITACION EDUCATIVA;SI;SI
160468;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL - LIMA PERU;ANESTESIOLOGIA;SI;SI
159601;UNIVERSIDAD PRIVADA SAN PEDRO DE CHINBOTE;ADMINISTRACIÓN EDUCATIVA;SI;SI
159602;UNIVERSIDAD NACIONAL DE CAJAMARCA;GESTIÓN DE LA EDUCACIÓN;SI;SI
159603;UNIVERSIDAD ALAS PERUANAS;DOCTOR EN EDUCACION;SI;SI
161334;PONTEFICIA UNIVERSIDAD LA CATÓLICA DEL PERÚ;GERENCIA SOCIAL;;NO
161336;UNIVERSIDAD PRIVADA CESAR VALLEJO;GESTION PUBLICA;SI;SI
161338;UNIVERSIDAD NACIONAL DE TRUJILLO;MAESTRÍA EN SALUD PÚBLICA;SI;SI
160973;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;MAESTRIA EN GERENCIA SOCIAL;;NO
160974;UNIVERSIDAD CESAR VALLEJO;PSICOLOGIA EDUCATIVA;SI;SI
160975;DERECHO LABORAL Y PROCESAL LABORAL;LABORAL;;NO
158808;UNIVERSIDAD PRIVADA CESAR VALLEJO;GESTIÓN ÚBLICA;SI;SI
158809;UNIVERSIDAD DE ALCALÁ - CEUPE;MASTER EN MARKETING DIGITAL, EL INTERNET 0.3;SI;SI
160715;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;INVESTIGACION Y DOCENCIA;SI;
159289;UNIVERSIDAD CÉSAR VALLEJO;DOCENCIA Y GESTIÓN EDUCATIVA;SI;SI
159290;UNIVERSIDAD CÉSAR VALLEJO;ADMINISTRACIÓN DE LA EDUCACIÓN;SI;SI
159291;UNIVERSIDAD PARTICULAR DE CHICLAYO;MAESTRÍA EN GESTIÓN PÚBLICA Y DESARROLLO LOCAL;SI;
159292;UNIVERSIDAD SAN PEDRO;GESTIÓN EDUCATIVA Y DOCENCIA UNIVERSITARIA;;NO
