ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
160864;PARTIDO POLÍTICO PERU NACION;PRESIDENTE;2015;HASTA LA ACTUALIDAD
159929;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO GENERAL;2008;HASTA LA ACTUALIDAD
159930;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MOVIMIENTO INDEPENDIENTE POLITICO VILLA CAMBIA;SECRETARIO GENERAL;2018;2018
159930;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL MOVIMIENTO INDEPENDIENTE POLITICO VILLA CAMBIA;SECRETARIO DE MOVILIZACION;2014;2015
159933;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO NACIONAL DE PROYECTOS Y PLANES DE DESARROLLO;2014;2019
159933;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO GENERAL DEPARTAMENTO DE LIMA;2019;HASTA LA ACTUALIDAD
159944;PARTIDO POLÍTICO PERU PATRIA SEGURA;PERSONERO LEGAL ALTERNO;2014;2019
159944;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO DEL COMITE DE ETICA Y DISCIPLINA;2018;HASTA LA ACTUALIDAD
159946;PARTIDO POLÍTICO PERU PATRIA SEGURA;MIEMBRO DE COMITE EJECUTIVO NACIONAL;2016;HASTA LA ACTUALIDAD
159946;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO DE GESTION AMBIENTAL;2017;HASTA LA ACTUALIDAD
159954;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARIO  NACIONAL DE ECONOMIA;2014;HASTA LA ACTUALIDAD
159954;PARTIDO POLÍTICO PERU PATRIA SEGURA;SECRETARÍA NACIONAL DE ACTAS Y ARCHIVOS;2011;2014
159960;PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO;SECRETARIO DE ECONOMIA NACIONAL;2006;2008
161038;PARTIDO POLÍTICO RENACIMIENTO UNIDO NACIONAL;SECRETARIO GENERAL NACIONAL;2010;2017
161052;PARTIDO POLÍTICO PARTIDO POLÍTICO CONTIGO;MILITANTE;2015;2019
161053;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;SECRETARIO NACIONAL DE ORGANIZACION Y MOVILIZACION;2017;2019
161053;PARTIDO POLÍTICO PODEMOS POR EL PROGRESO DEL PERU;SECRETARIO DEL TRIBUNAL ELECTORAL NACIONAL;2018;2019
161059;PARTIDO POLÍTICO ACCION POPULAR;SECRETARIO NACIONAL DE ASUNTOS LABORALES;2007;2009
161068;PARTIDO POLÍTICO CAMBIO RADICAL;AFILIADO;2010;2012
160355;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL LA MOLINA HACIA EL GRAN CAMBIO;|APODERADO;DIRECTOR DE ORGANIZACIÓN Y ADMINISTRACIÓN;FUNDADOR;PERSONERO LEGAL ALTERNO;REPRESENTANTE|;2010;2011
160357;MOVIMIENTO REGIONAL O DEPARTAMENTAL RENACIMIENTO UNIDO NACIONAL;SECRETARIO NACIONAL DE PLAN DE GOBIERNO;2019;2019
160366;ALIANZA ELECTORAL ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP;REGIDOR;2015;2018
160369;PARTIDO POLÍTICO PARTIDO SOCIALISTA;SECRETARIO GENERAL;1990;1995
160376;ALIANZA ELECTORAL ALIANZA PARA EL PROGRESO DEL PERU;RESPONSABLE POLITICO DISTRITAL;2010;2017
160806;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO;SECRETARIA DE IDEOLOGÍA Y DOCTRINA;2005;2010
160808;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIO GENERAL;1999;2002
160812;PARTIDO POLÍTICO PARTIDO JUSTICIA NACIONAL;FUNDADOR;2004;2007
160818;MOVIMIENTO POLITICO NUEVA GENERACION;SECRETARIO ZONAL;2000;2002
160822;PARTIDO POLÍTICO PERU PATRIA SEGURA;MILITANTE;2015;2019
160824;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;AFILIADO;2006;2017
160833;ALIANZA ELECTORAL UNIDAD NACIONAL;COORDINADOR DE PERSONEROS;2006;2006
160833;ALIANZA ELECTORAL UNIDAD NACIONAL;JEFE DE TRANSFERENCIA DE DEFENSA CIVIL;2002;2002
159832;PARTIDO POLÍTICO UNION POR EL PERU;SECRETARIO GENERAL NACIONAL;2005;HASTA LA ACTUALIDAD
159832;PARTIDO POLÍTICO UNION POR EL PERU;SECRETARIO GENERAL DEPARTAMENTAL;2001;2004
159833;PARTIDO POLÍTICO SOLIDARIDAD NACIONAL;SECRETARIO NACIONAL DE DIFUSION;1994;2010
