ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
160267;UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE;EDUCACION;SI;SI;SI
160268;INCA GARCILAZO DE LA VEGA;ESTOMATOLOGIA;SI;SI;SI
160270;UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE;LICENCIADA EN EDUCACION;SI;SI;SI
160270;INCA GARCILAZO DE LA VEGA;ABOGADO;SI;NO;SI
159241;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;DERECHO;SI;SI;SI
159243;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLITICAS;SI;NO;NO
159243;UNIVERSIDAD PRIVADA TELESUP SAC;BACHILLER EN DERECHO CORPORATIVO;SI;SI;NO
159244;UNIVERSIDAD SAN MARTIN DE PORRES;CIENCIAS DE LA COMUNICACION;NO;;
159245;UNIVERSIDAD DE LIMA;CONTABILIDAD;SI;SI;SI
159247;UNIVERSIDAD DE LIMA;ADMINISTRACION DE EMPRESAS;NO;NO;NO
159249;ESCUELA MILITAR DE CHORRILLOS;CIENCIAS MILITARES;SI;SI;
159250;UNIVERSIDAD CESAR VALLEJO;INGENIERIA INDUSTRIAL;SI;SI;SI
159251;UNIVERSIDAD DE SAN MARTÍN DE PORRES;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
159252;UNIVERSIDAD DE SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
159253;UNIVERSIDAD DE SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
159255;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;ADMINISTRACIÓN;NO;NO;NO
159256;UNIVERSIDAD DE LIMA;INGENIERÍA INDUSTRIAL;SI;SI;NO
159257;INCA GARCILAZO DE LA VEGA;DERECHO;SI;SI;SI
159257;UNIVERSIDAD TECNOLÓGICA DEL PERU;INGENIERÍA DE SISTEMAS;SI;SI;SI
159260;INCA GARCILAZO DE LA VEGA;CIENCIAS DE LA COMUNICACIÓN;SI;SI;SI
159262;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO Y CIENCIA POLITICA;SI;SI;SI
159263;UNIVERSIDAD DE LIMA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
159264;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;TRABAJO SOCIAL;SI;SI;SI
159264;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO;SI;SI;SI
159265;UNIVERSIDAD DE LIMA;CIENCIAS DE LA COMUNICACIÓN;SI;SI;SI
159265;UNIVERSIDAD TECNOLÓGICA DEL PERÚ;DERECHO;NO;NO;NO
159266;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;QUIMICA;SI;SI;SI
159267;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;DERECHO;SI;SI;SI
159268;UNIVERSIDAD CATOLICA SEDE SAPIENTAEI;PSICOLOGIA;SI;SI;SI
159268;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;EDUCACION;SI;SI;NO
159269;UNIVERSIDAD RICARDO PALMA;INGENIERIA INDUSTRIAL;SI;SI;NO
159270;UNIVERSIDAD NACIONAL DE INGENIERÍA;;SI;SI;SI
159271;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;BACHILLER EN TECNOLOGIA MEDICA;SI;SI;NO
